Leather Headgear : 1 暖かい毛皮, 1 鉄鉱石
Leather Vest : 1 ファンゴの毛皮, 1 鉄鉱石
Leather Gloves : 2 暖かい毛皮
Leather Belt : 1 ファンゴの毛皮, 1 鉄鉱石
Leather Pants : 2 暖かい毛皮
Piscine Mask : 2 ケルビの角, 2 イキツギ藻, 2 なぞの骨
Piscine Belt : 2 水生獣の皮, 2 欠けた貝殻
Piscine Leggings : 2 水生獣の皮, 1 大きなヒレ
Chainmail Headgear : 1 大地の結晶, 1 鉄鉱石
Chainmail Vest : 2 鉄鉱石, 1 暖かい毛皮
Chainmail Gloves : 1 鉄鉱石, 2 砥石
Chainmail Belt : 1 鉄鉱石, 2 暖かい毛皮
Chainmail Pants : 2 鉄鉱石, 2 暖かい毛皮
Loc Lac Shawl : 1 甲虫の腹袋, 3 モンスターの体液, 3 氷結晶
Loc Lac Kilt : 2 甲虫の腹袋, 2 甲虫の大顎, 3 氷結晶
Loc Lac Boots : 3 甲虫の大顎, 2 甲虫の腹袋, 3 氷結晶
Hunter's Helm : 1 マカライト鉱石, 1 鉄鉱石, 2 セッチャクロアリ
Hunter's Mail : 2 鉄鉱石, 1 ジャギィの鱗, 2 竜骨【小】
Hunter's Vambraces : 1 大地の結晶, 2 ジャギィの鱗, 1 ツタの葉
Hunter's Faulds : 2 マカライト鉱石, 1 鉄鉱石, 1 セッチャクロアリ
Hunter's Greaves : 1 鉄鉱石, 1 大地の結晶, 2 竜骨【小】
Hunter's Cap : 1 マカライト鉱石, 1 鉄鉱石, 2 セッチャクロアリ
Hunter's Vest : 2 鉄鉱石, 1 ジャギィの鱗, 2 竜骨【小】
Hunter's Guards : 1 大地の結晶, 2 ジャギィの鱗, 1 ツタの葉
Hunter's Coat : 2 マカライト鉱石, 1 鉄鉱石, 1 セッチャクロアリ
Hunter's Leggings : 1 鉄鉱石, 1 大地の結晶, 2 竜骨【小】
Yukumo Kasa : ※港店売り
Yukumo Dogi : ※港店売り
Yukumo Kote : ※港店売り
Yukumo Obi : ※港店売り
Yukumo Hakama : ※港店売り
Alloy Helm : 3 マカライト鉱石, 2 大地の結晶, 3 鉄鉱石
Alloy Mail : 3 マカライト鉱石, 2 シーブライト鉱石, 2 鉄鉱石
Alloy Vambraces : 2 マカライト鉱石, 2 大地の結晶, 4 鉄鉱石
Alloy Coil : 2 マカライト鉱石, 2 シーブライト鉱石, 3 鉄鉱石
Alloy Greaves : 4 マカライト鉱石, 2 大地の結晶, 2 鉄鉱石
Alloy Cap : 3 マカライト鉱石, 2 大地の結晶, 3 鉄鉱石
Alloy Vest : 3 マカライト鉱石, 2 シーブライト鉱石, 2 鉄鉱石
Alloy Guards : 2 マカライト鉱石, 2 大地の結晶, 4 鉄鉱石
Alloy Coat : 2 マカライト鉱石, 2 シーブライト鉱石, 3 鉄鉱石
Alloy Leggings : 4 マカライト鉱石, 2 大地の結晶, 2 鉄鉱石
Bone Helm : 3 大きなヒレ, 1 なぞの頭骨, 2 とがった牙
Bone Mail : 1 大きな骨, 4 なぞの骨, 2 とがった牙
Bone Vambraces : 3 竜骨【小】, 3 なぞの骨, 2 とがった牙
Bone Faulds : 3 竜骨【小】, 3 棒状の骨, 2 とがった牙
Bone Greaves : 2 竜骨【中】, 2 棒状の骨, 4 なぞの骨
Bone Cap : 3 大きなヒレ, 1 なぞの頭骨, 2 とがった牙
Bone Vest : 1 大きな骨, 4 なぞの骨, 2 とがった牙
Bone Guards : 3 竜骨【小】, 3 なぞの骨, 2 とがった牙
Bone Coat : 3 竜骨【小】, 3 棒状の骨, 2 とがった牙
Bone Leggings : 2 竜骨【中】, 2 棒状の骨, 4 なぞの骨
Mutsu Kote/Amagi Kote : 6 峯山龍の上蒼鱗, 1 峯山龍の上腕甲, 1 大地の龍玉, 3 デプスライト鉱石
Mutsu Koshiate/Amagi Koshiate : 4 峯山龍の上腕甲, 6 峯山龍の堅岩殻, 2 峯山龍の上蒼鱗, 1 火竜の逆鱗
Mutsu Gusoku/Amagi Hakama : 5 峯山龍の上蒼鱗, 6 峯山龍の堅岩殻, 1 大地の龍玉, 10 大きなヒレ
Vangis Helm : 2 恐暴竜の頭殻, 4 恐暴竜の黒皮, 3 恐暴竜の唾液, 1 氷牙竜の棘
Vangis Mail : 5 恐暴竜の大牙, 4 恐暴竜の鉤爪, 5 恐暴竜の黒皮, 1 雷狼竜の碧玉
Vangis Vambraces : 6 恐暴竜の黒鱗, 5 恐暴竜の大牙, 3 恐暴竜の唾液, 1 迅竜の延髄
Vangis Coil : 4 恐暴竜の黒皮, 1 恐暴竜の宝玉, 6 恐暴竜の黒鱗, 1 尾槌竜の尾骨
Vangis Greaves : 4 恐暴竜の鉤爪, 6 恐暴竜の黒鱗, 3 恐暴竜の唾液, 1 爆鎚竜の骨髄
Vangis Cap : 2 恐暴竜の頭殻, 4 恐暴竜の黒皮, 3 恐暴竜の唾液, 1 氷牙竜の棘
Vangis Vest : 5 恐暴竜の大牙, 4 恐暴竜の鉤爪, 5 恐暴竜の黒皮, 1 雷狼竜の碧玉
Vangis Guards : 6 恐暴竜の黒鱗, 5 恐暴竜の大牙, 3 恐暴竜の唾液, 1 迅竜の延髄
Vangis Coat : 4 恐暴竜の黒皮, 1 恐暴竜の宝玉, 6 恐暴竜の黒鱗, 1 尾槌竜の尾骨
Vangis Leggings : 4 恐暴竜の鉤爪, 6 恐暴竜の黒鱗, 3 恐暴竜の唾液, 1 爆鎚竜の骨髄
Escadora Wisdom : 4 砕けた天角, 1 天をつらぬく角, 6 煌黒龍の逆鱗, 1 風牙竜の鋭爪
Escadora Soul : 6 煌黒龍の堅逆鱗, 6 煌黒龍の尖爪, 4 砕けた天角, 3 潜口竜の頭殻
Escadora Arms : 6 煌黒龍の尖爪, 6 煌黒龍の堅逆殻, 1 古龍の血, 1 上質な黒巻き角
Escadora Might : 1 煌黒龍の翼膜, 1 煌黒龍の尻尾, 5 煌黒龍の逆鱗, 2 恐暴竜の頭殻
Escadora Scale : 6 煌黒龍の逆鱗, 6 煌黒龍の堅逆殻, 1 瑠璃色の龍玉, 2 上質なねじれた角
Escadora Sagesse : 4 砕けた天角, 1 天をつらぬく角, 6 煌黒龍の逆鱗, 1 風牙竜の鋭爪
Escadora Seele : 6 煌黒龍の堅逆鱗, 6 煌黒龍の尖爪, 4 砕けた天角, 3 潜口竜の頭殻
Escadora Arma : 6 煌黒龍の尖爪, 6 煌黒龍の堅逆殻, 1 古龍の血, 1 上質な黒巻き角
Escadora Force : 1 煌黒龍の翼膜, 1 煌黒龍の尻尾, 5 煌黒龍の逆鱗, 2 恐暴竜の頭殻
Escadora Scala : 6 煌黒龍の逆鱗, 6 煌黒龍の堅逆殻, 1 瑠璃色の龍玉, 2 上質なねじれた角
Pirate J Hat : 1 海賊Ｊチケット, 3 赤甲獣の甲殻, 5 火竜の上鱗, 6 鋼鎚竜の上鱗
Pirate J Suit : 1 海賊Ｊチケット, 2 赤甲獣の尖爪, 2 不気味な上皮, 3 赤熱した堅胸殻
Pirate J Gloves : 1 海賊Ｊチケット, 4 赤甲獣の堅殻, 1 火竜の紅玉, 5 炎戈竜の堅殻
Pirate J Coil : 1 海賊Ｊチケット, 3 赤甲獣の堅殻, 3 鋼鎚竜の耐熱殻, 4 炎戈竜の上皮
Pirate J Boots : 1 海賊Ｊチケット, 4 赤甲獣の蛇腹甲, 4 火竜の堅殻, 4 鋼鎚竜の堅殻
Pirate J Cap : 1 海賊Ｊチケット, 3 赤甲獣の甲殻, 5 火竜の上鱗, 6 鋼鎚竜の上鱗
Pirate J Jacket : 1 海賊Ｊチケット, 2 赤甲獣の尖爪, 2 不気味な上皮, 3 赤熱した堅胸殻
Pirate J Cuffs : 1 海賊Ｊチケット, 4 赤甲獣の堅殻, 1 火竜の紅玉, 5 炎戈竜の堅殻
Pirate J Coat : 1 海賊Ｊチケット, 3 赤甲獣の堅殻, 3 鋼鎚竜の耐熱殻, 4 炎戈竜の上皮
Pirate J Pants : 1 海賊Ｊチケット, 4 赤甲獣の蛇腹甲, 4 火竜の堅殻, 4 鋼鎚竜の堅殻
Bnahabra X Hat : 2 飛甲虫の斬羽, 3 飛甲虫の堅殻, 2 飛甲虫の麻痺針, 2 皇帝バッタ
Bnahabra X Suit : 2 飛甲虫の斬羽, 3 飛甲虫の堅殻, 2 モンスターの特濃, 2 皇帝バッタ
Bnahabra X Glove : 2 飛甲虫の斬羽, 5 飛甲虫の羽, 2 極上の腹袋, 3 モンスターの特濃
Bnahabra X Coil : 2 飛甲虫の斬羽, 5 飛甲虫の羽, 1 モンスターの特濃, 1 マボロシチョウ
Bnahabra X Boots : 2 飛甲虫の斬羽, 3 飛甲虫の羽, 1 極上の腹袋, 3 モンスターの特濃
Bnahabra X Cap : 2 飛甲虫の斬羽, 3 飛甲虫の堅殻, 2 飛甲虫の麻痺針, 2 皇帝バッタ
Bnahabra X Vest : 2 飛甲虫の斬羽, 3 飛甲虫の堅殻, 2 モンスターの特濃, 2 皇帝バッタ
Bnahabra X Cuffs : 2 飛甲虫の斬羽, 5 飛甲虫の羽, 2 極上の腹袋, 3 モンスターの特濃
Bnahabra X Coat : 2 飛甲虫の斬羽, 5 飛甲虫の羽, 1 モンスターの特濃, 1 マボロシチョウ
Bnahabra X Pants : 2 飛甲虫の斬羽, 3 飛甲虫の羽, 1 極上の腹袋, 3 モンスターの特濃
Rhenoplos X Helm : 2 草食竜の重骨, 3 重厚な骨, 4 グラシスメタル
Rhenoplos X Mail : 2 草食竜の重骨, 3 竜骨【大】, 2 エルトライト鉱石
Rhenoplos X Vambraces : 3 草食竜の重骨, 6 堅牢な鳥竜骨, 4 グラシスメタル
Rhenoplos X Coil : 1 草食竜の重骨, 4 重厚な骨, 4 グラシスメタル
Rhenoplos X Greaves : 3 草食獣の重骨, 8 竜骨【大】, 2 エルトライト鉱石
Rhenoplos X Cap : 2 草食竜の重骨, 3 重厚な骨, 4 グラシスメタル
Rhenoplos X Vest : 2 草食竜の重骨, 3 竜骨【大】, 2 エルトライト鉱石
Rhenoplos X Guards : 3 草食竜の重骨, 6 堅牢な鳥竜骨, 4 グラシスメタル
Rhenoplos X Coat : 1 草食竜の重骨, 4 重厚な骨, 4 グラシスメタル
Rhenoplos X Leggings : 3 草食獣の重骨, 8 竜骨【大】, 2 エルトライト鉱石
Zuwaroposu X Hood : 4 柔軟な厚皮, 3 垂皮竜の上皮, 2 極上の毛皮
Zuwaroposu X Mantle : 2 柔軟な厚皮, 5 垂皮竜の上皮, 2 極上の毛皮
Zuwaroposu X Cap : 5 柔軟な厚皮, 4 垂皮竜の上皮, 3 極上の毛皮
Zuwaroposu X Vest : 2 柔軟な厚皮, 5 垂皮竜の上皮, 2 極上の毛皮
Pumpkin X Helm : 1 尾鎚竜の重苔甲, 4 ペピポパンプキン, 2 いにしえの秘薬, 20 マタタビ
Pumpkin X Mail : 1 尾槌竜の重苔甲, 4 ペピポパンプキン, 1 落陽草の花, 20 サボテンの花
Pumpkin X Vambraces : 1 尾槌竜の重苔甲, 5 ペピポパンプキン, 4 モンスターの特濃, 20 トウガラシ
Pumpkin X Faulds : 1 尾鎚竜の重苔甲, 5 ペピポパンプキン, 4 飛甲虫の斬羽, 20 火薬草
Pumpkin X Greaves : 1 尾槌竜の重苔甲, 4 ペピポパンプキン, 3 極上の腹袋, 20 ネムリ草
Pumpkin X Cap : 1 尾鎚竜の重苔甲, 4 ペピポパンプキン, 2 いにしえの秘薬, 20 マタタビ
Pumpkin X Vest : 1 尾槌竜の重苔甲, 4 ペピポパンプキン, 1 落陽草の花, 20 サボテンの花
Pumpkin X Guards : 1 尾槌竜の重苔甲, 5 ペピポパンプキン, 4 モンスターの特濃, 20 トウガラシ
Pumpkin X Coat : 1 尾鎚竜の重苔甲, 5 ペピポパンプキン, 4 飛甲虫の斬羽, 20 火薬草
Pumpkin X Leggings : 1 尾槌竜の重苔甲, 4 ペピポパンプキン, 3 極上の腹袋, 20 ネムリ草
Jaggi X Helm : 2 偉大なエリマキ, 2 拘竜の尖爪, 2 ジャギィの上鱗, 3 エルトライト鉱石
Jaggi X Mail : 4 狗竜の厚皮, 4 狗竜の上皮, 3 堅牢な鳥竜骨, 2 ユニオン鉱石
Jaggi X Vambraces : 1 幻鳥竜玉, 5 狗竜の尖爪, 1 狗竜の頭, 3 エルトライト鉱石
Jaggi X Faulds : 4 狗竜の厚皮, 2 偉大なエリマキ, 4 ジャギィの上鱗, 5 エルトライト鉱石
Jaggi X Greaves : 3 狗竜の厚皮, 4 狗竜の上皮, 4 堅牢な鳥竜骨, 5 ユニオン鉱石
Jaggi X Cap : 2 偉大なエリマキ, 2 拘竜の尖爪, 2 ジャギィの上鱗, 3 エルトライト鉱石
Jaggi X Vest : 4 狗竜の厚皮, 4 狗竜の上皮, 3 堅牢な鳥竜骨, 2 ユニオン鉱石
Jaggi X Guards : 1 幻鳥竜玉, 5 狗竜の尖爪, 1 狗竜の頭, 3 エルトライト鉱石
Jaggi X Coat : 4 狗竜の厚皮, 2 偉大なエリマキ, 4 ジャギィの上鱗, 5 エルトライト鉱石
Jaggi X Leggings : 3 狗竜の厚皮, 4 狗竜の上皮, 4 堅牢な鳥竜骨, 5 ユニオン鉱石
Baggi X Helm : 2 偉大なトサカ, 2 眠狗竜の尖爪, 2 眠狗竜の上皮, 3 グラシスメタル
Baggi X Mail : 4 眠狗竜の厚皮, 4 眠狗竜の上皮, 3 堅牢な鳥竜骨, 2 皇帝バッタ
Baggi X Vambraces : 1 幻鳥竜玉, 5 眠狗竜の尖爪, 1 昏睡袋, 3 グラシスメタル
Baggi X Faulds : 3 眠狗竜の厚皮, 2 偉大なトサカ, 4 バギィの上鱗, 5 グラシスメタル
Baggi X Greaves : 2 眠狗竜の厚皮, 4 眠狗竜の上皮, 4 堅牢な鳥竜骨, 5 皇帝バッタ
Baggi X Cap : 2 偉大なトサカ, 2 眠狗竜の尖爪, 2 眠狗竜の上皮, 3 グラシスメタル
Baggi X Vest : 4 眠狗竜の厚皮, 4 眠狗竜の上皮, 3 堅牢な鳥竜骨, 2 皇帝バッタ
Baggi X Guards : 1 幻鳥竜玉, 5 眠狗竜の尖爪, 1 昏睡袋, 3 グラシスメタル
Baggi X Coat : 3 眠狗竜の厚皮, 2 偉大なトサカ, 4 バギィの上鱗, 5 グラシスメタル
Baggi X Leggings : 2 眠狗竜の厚皮, 4 眠狗竜の上皮, 4 堅牢な鳥竜骨, 5 皇帝バッタ
Froggi X Helm : 2 偉大なクチバシ, 2 毒拘竜の堅腕甲, 2 フロギィの上鱗, 3 デプスライト鉱石
Froggi X Mail : 4 毒狗竜の厚皮, 4 毒狗竜の上皮, 3 堅牢な鳥竜骨, 2 メランジェ鉱石
Froggi X Vambraces : 1 幻鳥竜玉, 5 毒狗竜の堅腕甲, 1 猛毒袋, 3 デプスライト鉱石
Froggi X Faulds : 3 毒狗竜の厚皮, 2 王者のクチバシ, 4 フロギィの上鱗, 5 デプスライト鉱石
Froggi X Greaves : 2 毒狗竜の厚皮, 4 毒狗竜の上皮, 4 堅牢な鳥竜骨, 2 メランジェ鉱石
Froggi X Cap : 2 偉大なクチバシ, 2 毒拘竜の堅腕甲, 2 フロギィの上鱗, 3 デプスライト鉱石
Froggi X Vest : 4 毒狗竜の厚皮, 4 毒狗竜の上皮, 3 堅牢な鳥竜骨, 2 メランジェ鉱石
Froggi X Guards : 1 幻鳥竜玉, 5 毒狗竜の堅腕甲, 1 猛毒袋, 3 デプスライト鉱石
Froggi X Coat : 3 毒狗竜の厚皮, 2 王者のクチバシ, 4 フロギィの上鱗, 5 デプスライト鉱石
Froggi X Leggings : 2 毒狗竜の厚皮, 4 毒狗竜の上皮, 4 堅牢な鳥竜骨, 2 メランジェ鉱石
Aoashira X Helm : 3 青熊獣の重殻, 2 重厚な骨, 3 青熊獣の剛毛, 6 エルトライト鉱石
Aoashira X Mail : 2 青熊獣の重腕甲, 2 青熊獣の重殻, 3 飛甲虫の斬羽, 4 皇帝バッタ
Aoashira X Vambraces : 3 青熊獣の重殻, 3 青熊獣の重腕甲, 3 青熊獣の剛毛, 2 極上の腹袋
Aoashira X Faulds : 2 青熊獣の重腕甲, 2 重厚な骨, 3 青熊獣の堅殻, 6 エルトライト鉱石
Aoashira X Greaves : 2 青熊獣の重腕甲, 2 重厚な牙, 3 飛甲虫の堅殻, 4 皇帝バッタ
Aoashira X Cap : 3 青熊獣の重殻, 2 重厚な骨, 3 青熊獣の剛毛, 6 エルトライト鉱石
Aoashira X Vest : 2 青熊獣の重腕甲, 2 青熊獣の重殻, 3 飛甲虫の斬羽, 4 皇帝バッタ
Aoashira X Guards : 3 青熊獣の重殻, 3 青熊獣の重腕甲, 3 青熊獣の剛毛, 2 極上の腹袋
Aoashira X Coat : 2 青熊獣の重腕甲, 2 重厚な骨, 3 青熊獣の堅殻, 6 エルトライト鉱石
Aoashira X Leggings : 2 青熊獣の重腕甲, 2 重厚な牙, 3 飛甲虫の堅殻, 4 皇帝バッタ
Urkusus X Helm : 2 白兎獣の地獄耳, 2 白兎獣の豪剛毛, 4 眠狗竜の厚皮, 1 マボロシチョウ
Urkusus X Mail : 3 白兎獣の豪剛毛, 3 白兎獣の堅腹甲, 4 偉大なトサカ, 3 皇帝バッタ
Urkusus X Vambraces : 1 白兎獣の地獄耳, 2 白兎獣の豪剛毛, 2 重厚な牙, 6 柔軟な厚皮
Urkusus X Faulds : 3 白兎獣の豪剛毛, 1 白兎獣の凍爪, 2 堅牢な骨, 3 皇帝バッタ
Urkusus X Greaves : 3 白兎獣の豪剛毛, 4 白兎獣の堅腹甲, 3 白兎獣の凍爪, 8 エルトライト鉱石
Urkusus X Cap : 2 白兎獣の地獄耳, 2 白兎獣の豪剛毛, 4 眠狗竜の厚皮, 1 マボロシチョウ
Urkusus X Vest : 3 白兎獣の豪剛毛, 3 白兎獣の堅腹甲, 4 偉大なトサカ, 3 皇帝バッタ
Urkusus X Guards : 1 白兎獣の地獄耳, 2 白兎獣の豪剛毛, 2 重厚な牙, 6 柔軟な厚皮
Urkusus X Coat : 3 白兎獣の豪剛毛, 1 白兎獣の凍爪, 2 堅牢な骨, 3 皇帝バッタ
Urkusus X Leggings : 3 白兎獣の豪剛毛, 4 白兎獣の堅腹甲, 3 白兎獣の凍爪, 8 エルトライト鉱石
Ranguro X Helm : 3 赤甲獣の剛爪, 3 赤甲獣の重殻, 3 モンスターの特濃, 2 獄炎石
Ranguro X Mail : 3 赤甲獣の重殻, 3 毒狗竜の厚皮, 2 重厚な骨, 3 獄炎石
Ranguro X Vambraces : 3 赤甲獣の剛爪, 6 強力麻痺袋, 3 重厚な骨, 5 エルトライト鉱石
Ranguro X Faulds : 3 赤甲獣の重殻, 5 赤甲獣の蛇腹甲, 3 モンスターの特濃, 2 獄炎石
Ranguro X Greaves : 3 赤甲獣の剛爪, 3 赤甲獣の重殻, 2 重厚な牙, 2 エルトライト鉱石
Ranguro X Cap : 3 赤甲獣の剛爪, 3 赤甲獣の重殻, 3 モンスターの特濃, 2 獄炎石
Ranguro X Vest : 3 赤甲獣の重殻, 3 毒狗竜の厚皮, 2 重厚な骨, 3 獄炎石
Ranguro X Guards : 3 赤甲獣の剛爪, 6 強力麻痺袋, 3 重厚な骨, 5 エルトライト鉱石
Ranguro X Coat : 3 赤甲獣の重殻, 5 赤甲獣の蛇腹甲, 3 モンスターの特濃, 2 獄炎石
Ranguro X Leggings : 3 赤甲獣の剛爪, 3 赤甲獣の重殻, 2 重厚な牙, 2 エルトライト鉱石
Ingot X Helm : 2 真紅蓮石, 2 グラシスメタル, 2 エルトライト鉱石, 5 カブレライト鉱石
Ingot X Mail : 3 真紅蓮石, 3 獄炎石, 2 エルトライト鉱石, 5 カブレライト鉱石
Ingot X Vambraces : 2 真紅蓮石, 4 グラシスメタル, 2 エルトライト鉱石, 2 溶岩塊
Ingot X Coil : 2 真紅蓮石, 3 獄炎石, 2 エルトライト鉱石, 2 溶岩塊
Ingot X Greaves : 3 真紅蓮石, 2 グラシスメタル, 1 エルトライト鉱石, 5 カブレライト鉱石
Ingot X Cap : 2 真紅蓮石, 2 グラシスメタル, 2 エルトライト鉱石, 5 カブレライト鉱石
Ingot X Vest : 3 真紅蓮石, 3 獄炎石, 2 エルトライト鉱石, 5 カブレライト鉱石
Ingot X Guards : 2 真紅蓮石, 4 グラシスメタル, 2 エルトライト鉱石, 2 溶岩塊
Ingot X Coat : 2 真紅蓮石, 3 獄炎石, 2 エルトライト鉱石, 2 溶岩塊
Ingot X Leggings : 3 真紅蓮石, 2 グラシスメタル, 1 エルトライト鉱石, 5 カブレライト鉱石
Nadeshiko Cap+ : 3 メランジェ鉱石, 1 落陽草の花, 10 さびた破片, 3 ペピポパンプキン
Nadeshiko Vest+ : 2 メランジェ鉱石, 1 落陽草の花, 3 イチノタチウオ, 4 大きな太古の破片
Nadeshiko Sleeves+ : 3 メランジェ鉱石, 1 落陽草の花, 3 うなりうねり貝, 4 細い太古の破片
Nadeshiko Waist+ : 2 メランジェ鉱石, 1 落陽草の花, 3 トモダチケット, 3 高級お食事券
Nadeshiko Skirt+ : 3 メランジェ鉱石, 1 落陽草の花, 2 オオマヒシメジ, 4 長い太古の破片
Kikyo Cap+ : 3 メランジェ鉱石, 1 落陽草の花, 10 さびた破片, 3 ペピポパンプキン
Kikyo Vest+ : 2 メランジェ鉱石, 1 落陽草の花, 3 イチノタチウオ, 4 大きな太古の破片
Kikyo Sleeves+ : 3 メランジェ鉱石, 1 落陽草の花, 3 うなりうねり貝, 4 細い太古の破片
Kikyo Waist+ : 2 メランジェ鉱石, 1 落陽草の花, 3 トモダチケット, 3 高級お食事券
Kikyo Skirt+ : 3 メランジェ鉱石, 1 落陽草の花, 2 オオマヒシメジ, 4 長い太古の破片
Sailer's Beret : 3 狩猟王のコイン, 5 闘技王のコイン, 5 ピュアクリスタル, 3 覇王の証
Sailer's Blouse : 3 狩猟王のコイン, 5 飛竜のコイン, 5 マボロシチョウ, 3 覇王の証
Sailer's Gloves : 3 狩猟王のコイン, 5 海竜のコイン, 6 真紅蓮石, 3 覇王の証
Sailer's Skirt : 3 狩猟王のコイン, 5 獣竜のコイン, 8 エルトライト鉱石, 3 覇王の証
Sailer's Socks : 3 狩猟王のコイン, 5 水竜のコイン, 4 メランジェ鉱石, 3 覇王の証
Sailer's Cap : 3 狩猟王のコイン, 5 闘技王のコイン, 5 ピュアクリスタル, 3 覇王の証
Sailer's Vest : 3 狩猟王のコイン, 5 飛竜のコイン, 5 マボロシチョウ, 3 覇王の証
Sailer's Sleeves : 3 狩猟王のコイン, 5 海竜のコイン, 6 真紅蓮石, 3 覇王の証
Sailer's Mini : 3 狩猟王のコイン, 5 獣竜のコイン, 8 エルトライト鉱石, 3 覇王の証
Sailer's Sandals : 3 狩猟王のコイン, 5 水竜のコイン, 4 メランジェ鉱石, 3 覇王の証
Qurupeco X Helm : 2 魅惑のクチバシ, 2 彩鳥の剛翼, 3 堅牢な鳥竜骨, 3 皇帝バッタ
Qurupeco X Mail : 3 彩鳥の厚鱗, 2 極彩色の艶羽根, 3 堅牢な鳥竜骨, 1 マボロシチョウ
Qurupeco X Vambraces : 3 彩鳥の厚鱗, 1 高級火打石, 4 極彩色の艶羽根, 1 マボロシチョウ
Qurupeco X Coil : 2 彩鳥の剛翼, 3 彩鳥の厚鱗, 2 重厚な骨, 5 王族カナブン
Qurupeco X Greaves : 2 彩鳥の剛翼, 3 彩鳥の厚鱗, 2 極彩色の艶羽根, 3 皇帝バッタ
Qurupeco X Cap : 2 魅惑のクチバシ, 2 彩鳥の剛翼, 3 堅牢な鳥竜骨, 3 皇帝バッタ
Qurupeco X Vest : 3 彩鳥の厚鱗, 2 極彩色の艶羽根, 3 堅牢な鳥竜骨, 1 マボロシチョウ
Qurupeco X Guards : 3 彩鳥の厚鱗, 1 高級火打石, 4 極彩色の艶羽根, 1 マボロシチョウ
Qurupeco X Coat : 2 彩鳥の剛翼, 3 彩鳥の厚鱗, 2 重厚な骨, 5 王族カナブン
Qurupeco X Leggings : 2 彩鳥の剛翼, 3 彩鳥の厚鱗, 2 極彩色の艶羽根, 3 皇帝バッタ
Qurupeco Z Helm : 1 紅彩鳥の剛翼, 3 魅惑のクチバシ, 2 堅牢な鳥竜骨, 1 マボロシチョウ
Qurupeco Z Mail : 3 紅彩鳥の厚鱗, 2 極彩色の艶羽根, 1 重厚な骨, 1 マボロシチョウ
Qurupeco Z Vambraces : 3 高圧電気石, 3 紅彩鳥の厚鱗, 2 極彩色の艶羽根, 3 皇帝バッタ
Qurupeco Z Coil : 3 紅彩鳥の剛翼, 3 紅彩鳥の厚鱗, 1 重竜骨, 3 皇帝バッタ
Qurupeco Z Greaves : 3 紅彩鳥の厚鱗, 2 紅彩鳥の剛翼, 1 大竜玉, 5 ドスヘラクレス
Qurupeco Z Cap : 1 紅彩鳥の剛翼, 3 魅惑のクチバシ, 2 堅牢な鳥竜骨, 1 マボロシチョウ
Qurupeco Z Vest : 3 紅彩鳥の厚鱗, 2 極彩色の艶羽根, 1 重厚な骨, 1 マボロシチョウ
Qurupeco Z Guards : 3 高圧電気石, 3 紅彩鳥の厚鱗, 2 極彩色の艶羽根, 3 皇帝バッタ
Qurupeco Z Coat : 3 紅彩鳥の剛翼, 3 紅彩鳥の厚鱗, 1 重竜骨, 3 皇帝バッタ
Qurupeco Z Leggings : 3 紅彩鳥の厚鱗, 2 紅彩鳥の剛翼, 1 大竜玉, 5 ドスヘラクレス
Ludroth X Helm : 2 イカしたトサカ, 3 水獣の厚鱗, 1 水獣の靭尾, 2 特大水袋
Ludroth X Mail : 3 海綿質の厚皮, 4 柔軟な厚皮, 6 水生獣の上皮, 1 マボロシチョウ
Ludroth X Vambraces : 3 水獣の剛爪, 4 水獣の厚鱗, 2 海綿質の厚皮, 5 皇帝バッタ
Ludroth X Faulds : 4 水獣の厚鱗, 6 柔軟な厚皮, 2 重厚な骨, 1 水獣の靭尾
Ludroth X Greaves : 2 水獣の剛爪, 3 水獣の厚鱗, 3 海綿質の上皮, 5 皇帝バッタ
Ludroth X Cap : 2 イカしたトサカ, 3 水獣の厚鱗, 1 水獣の靭尾, 2 特大水袋
Ludroth X Vest : 3 海綿質の厚皮, 4 柔軟な厚皮, 6 水生獣の上皮, 1 マボロシチョウ
Ludroth X Guards : 3 水獣の剛爪, 4 水獣の厚鱗, 2 海綿質の厚皮, 5 皇帝バッタ
Ludroth X Coat : 4 水獣の厚鱗, 6 柔軟な厚皮, 2 重厚な骨, 1 水獣の靭尾
Ludroth X Leggings : 2 水獣の剛爪, 3 水獣の厚鱗, 3 海綿質の上皮, 5 皇帝バッタ
Ludroth Z Helm : 3 紫水獣の厚鱗, 2 イカしたトサカ, 1 水獣の靭尾, 5 皇帝バッタ
Ludroth Z Mail : 3 海綿質の紫厚皮, 4 柔軟な厚皮, 6 水生獣の上皮, 1 水獣の靭尾
Ludroth Z Vambraces : 4 紫水獣の剛爪, 2 海綿質の紫厚皮, 2 紫水獣の厚鱗, 2 特大水袋
Ludroth Z Faulds : 2 海綿質の紫厚皮, 6 柔軟な厚皮, 2 重厚な骨, 1 マボロシチョウ
Ludroth Z Greaves : 3 紫水獣の剛爪, 3 紫水獣の厚鱗, 3 海綿質の上皮, 5 エルトライト鉱石
Ludroth Z Cap : 3 紫水獣の厚鱗, 2 イカしたトサカ, 1 水獣の靭尾, 5 皇帝バッタ
Ludroth Z Vest : 3 海綿質の紫厚皮, 4 柔軟な厚皮, 6 水生獣の上皮, 1 水獣の靭尾
Ludroth Z Guards : 4 紫水獣の剛爪, 2 海綿質の紫厚皮, 2 紫水獣の厚鱗, 2 特大水袋
